s	p	o
n17500	p3023	n19200
n17500	p2108	n17326
n5142	p500	n9026
n18977	p3666	n15257
n2193	p2108	n17326
n18977	p3274	n3204
n15979	p3274	n12271
n15979	p3666	n12869
n18977	p690	n4883
n18977	p3666	n17774
n18977	p3069	n13356
n18977	p779	n17731
n18977	p3666	n18026
n14320	p3687	n19175
n14320	p3688	n9026
n14320	p2110	n9026
n14320	p3676	n6106
n14320	p3677	n6106
n14320	p3681	n9916
n14320	p1577	n405
n405	p3666	n8078
n16071	p665	n12869
n17547	p492	n7390
n7390	p3023	n12711
n14320	p2014	n20018
n14320	p692	n19337
n14320	p692	n21079
n3606	p3666	n8364
n3606	p3666	n8363
n14320	p2405	n17476
n17476	p3269	n5142
n21079	p2090	n18067
n14531	p4293	n9026
n18855	p163	n5142
n14320	p1430	n19854
n12217	p3845	n14320
n12217	p2135	n409
n14320	p3274	n408
n407	p3666	n18041
n9007	p4100	n18093
n5142	p1907	n6832
n14320	p1879	n5142
n21620	p4121	n11672
n21620	p4123	n6040
n5755	p4135	n6103
n10074	p492	n20361
n13220	p3666	n20361
n21630	p118	n8588
n21793	p3656	n12107
n11447	p3776	n21630
n11447	p3429	n21627
n19584	p600	n21626
n19584	p3655	n6868
n15929	p3795	n13566
n19585	p650	n7055
n19585	p650	n13622
n19585	p650	n11495
n19585	p650	n8678
n16284	p3666	n5722
n4125	p3602	n19015
n18037	p3735	n17841
n927	p753	n17897
n14315	p2121	n5761
n13867	p2121	n9156
n13867	p2121	n9893
n5761	p1694	n8454
n9893	p1384	n7091
n9156	p900	n10908
n5761	p514	n20331
n6502	p1061	n5786
n19889	p1061	n5777
n13969	p3666	n11994
n13969	p793	n5761
n21928	p951	n19140
n19176	p3093	n20307
n19176	p951	n3253
n4328	p2090	n17750
n17862	p662	n856
n21079	p3666	n5771
n20406	p3666	n5771
n1273	p4066	n4127
n4127	p619	n9879
n13220	p883	n10819
n21793	p2014	n20319
n21793	p2014	n16406
n5803	p555	n1797
n21625	p3628	n11149
n2655	p1744	n13235
n2655	p776	n2379
n2655	p776	n2386
n2655	p2135	n7571
n2655	p2135	n732
n2655	p41	n19842
n5142	p504	n20592
n10511	p504	n20592
n6408	p4096	n8673
n2655	p847	n20768
n2655	p517	n21079
n2655	p517	n3458
n2655	p3666	n20425
n2655	p2121	n17855
n2655	p30	n16506
n16506	p3344	n5226
n16506	p3344	n10515
n2655	p3069	n5699
n2655	p3666	n19297
n2655	p1785	n18610
n790	p1951	n20600
n3465	p2090	n5647
n2655	p866	n3458
n2655	p492	n18973
n2655	p492	n4734
n2655	p492	n20457
n20457	p232	n21080
n2655	p3023	n20555
n2655	p3585	n705
n2655	p250	n8673
n2655	p3274	n12861
n2655	p1331	n5050
n2655	p2150	n3458
n2655	p2150	n21079
n5142	p232	n19200
n5142	p232	n1822
n16689	p4141	n6069
n20441	p3265	n10909
n8785	p883	n3907
n17503	p3269	n5142
n8786	p3655	n3916
n8786	p3655	n10711
n8786	p3655	n18712
n21254	p3602	n12001
n21254	p3602	n9219
n5761	p625	n1814
n8785	p708	n19176
n19176	p3367	n18683
n19176	p232	n1814
n5761	p520	n16119
n10909	p3264	n18444
n17964	p951	n3253
n4328	p2090	n17996
n18662	p2090	n18035
n17503	p951	n8948
n17503	p951	n18649
n18649	p626	n17774
n16083	p3695	n8959
n3912	p2014	n17812
n8785	p883	n10818
n18649	p3735	n11698
n2655	p3666	n17862
n2655	p4096	n5330
n14612	p4126	n15136
n19775	p502	n14612
n19775	p963	n18517
n19775	p963	n18529
n19775	p1092	n5666
n19775	p1092	n20911
n19775	p1092	n16026
n19437	p2936	n15365
n19437	p3697	n4263
n19775	p3992	n235
n19775	p3097	n211
n19775	p72	n13649
n19775	p759	n20733
n17862	p3654	n15368
n21232	p4138	n13475
n19437	p905	n178
n19437	p2033	n172
n19775	p665	n11945
n11945	p670	n121
n11945	p673	n280
n19775	p665	n20425
n765	p912	n198
n19775	p3071	n1453
n19775	p3071	n1452
n16501	p1066	n210
n3175	p3914	n8172
n19775	p3666	n18098
n19775	p3666	n18099
n19775	p3666	n18100
n19775	p492	n18973
n19775	p492	n4734
n19775	p492	n10825
n19775	p492	n21415
n19775	p492	n21417
n19775	p871	n10661
n831	p3022	n20557
n19775	p2090	n4619
n19775	p2090	n2236
n19775	p2150	n1252
n19775	p3585	n3446
n19775	p1081	n539
n19775	p951	n18518
n19775	p951	n18530
n3175	p3767	n800
n19775	p870	n394
n19775	p3666	n17886
n19775	p3666	n17885
n19775	p1081	n8490
n19775	p2161	n15886
n2655	p2405	n5142
n2655	p2405	n10511
n2655	p2405	n20683
n9904	p231	n17862
n9904	p231	n18041
n9904	p231	n12920
n18649	p615	n3556
n2655	p1924	n9900
n2655	p1924	n18639
n19437	p2936	n15367
n19437	p148	n9841
n2655	p72	n13649
n2655	p3992	n235
n2655	p4050	n118
n2655	p3097	n211
n5452	p3650	n1734
n5452	p3650	n20298
n5452	p4230	n20045
n9089	p265	n6239
n18639	p923	n18679
n20743	p919	n5474
n15823	p257	n3378
n1792	p3245	n3137
n3175	p1956	n36
n2655	p3666	n11945
n11945	p3667	n217
n16501	p912	n18610
n13103	p951	n17884
n9089	p670	n179
n9089	p673	n99
n2655	p3666	n9902
n9090	p626	n18011
n9090	p3305	n1753
n2679	p782	n9090
n18639	p2164	n1734
n18639	p2015	n20298
n18669	p3344	n5714
n1692	p3712	n2727
n2393	p666	n2727
n9934	p663	n2727
n6474	p663	n2727
n1846	p782	n9090
n2655	p3666	n9900
n2655	p2014	n18678
n2655	p3666	n17873
n9090	p615	n18011
n18669	p615	n3554
n2655	p1081	n539
n2655	p1081	n21093
n2655	p869	n6043
n8597	p234	n10980
n19437	p2571	n18773
n19437	p2571	n8403
n7258	p3895	n10433
n6024	p234	n3550
n6024	p234	n1835
n20855	p3660	n15589
n10511	p2937	n6108
n2655	p492	n7720
n6533	p146	n2692
n6533	p146	n2691
n2655	p1595	n15458
n11574	p146	n2692
n11574	p146	n2691
n19437	p2936	n16609
n5226	p1958	n16732
n10515	p3915	n7811
n10515	p3915	n14055
n2655	p3076	n41
n17862	p3245	n2875
n5452	p3456	n1734
n5452	p3456	n20298
n5452	p3456	n18601
n17365	p225	n10357
n19437	p905	n7078
n2655	p3666	n17878
n2655	p3666	n17875
n10331	p3962	n20298
n10331	p3962	n18601
n4272	p3962	n20298
n4272	p3962	n18601
n8126	p676	n11821
n10331	p1420	n20276
n10331	p1419	n20712
n4272	p1420	n20268
n4272	p1419	n20711
n831	p3726	n20274
n7718	p186	n815
n13075	p3726	n19437
n2655	p2853	n14287
n2655	p2926	n14284
n2655	p3666	n11948
n2655	p3666	n5284
n2655	p3947	n5254
n2655	p2090	n12227
n19437	p2571	n18549
n2655	p2673	n14582
n2655	p1127	n5330
n2655	p3930	n10511
n2655	p3930	n5142
n2655	p3930	n20683
n6013	p148	n5496
n6013	p150	n10511
n6013	p150	n5142
n6013	p150	n20683
n2655	p1418	n17370
n2655	p4128	n13678
n19437	p2936	n16602
n19437	p571	n18607
n2428	p71	n4400
n19437	p4194	n6013
n19437	p4194	n12290
n12290	p603	n2656
n19437	p148	n10678
n9692	p4254	n6199
n17980	p225	n3397
n17980	p225	n17814
n17980	p225	n2875
n19444	p2034	n3176
n19444	p2034	n800
n11289	p912	n5844
n6043	p2034	n7837
n6043	p2034	n19417
n6043	p2034	n20899
n6043	p2034	n7840
n14239	p1946	n10511
n14239	p1946	n5142
n14239	p1946	n20683
n14239	p1946	n13678
n2655	p3991	n20304
n2655	p4080	n20758
n2655	p3626	n18277
n3175	p3630	n2688
n2655	p4121	n11774
n2655	p30	n17855
n2655	p30	n18015
n2655	p30	n18018
n2655	p3953	n19502
n2655	p2090	n17882
n18011	p626	n8603
n17980	p785	n6090
n17980	p785	n3467
n5226	p760	n17855
n2655	p492	n7713
n2655	p492	n18718
n2655	p492	n15457
n2655	p492	n10659
n814	p3022	n20555
n814	p178	n2679
n18718	p3376	n3467
n2655	p2014	n11782
n2655	p2014	n12968
n2655	p2014	n4640
n2655	p2090	n1334
n2655	p3666	n18999
n2655	p1222	n13672
n2655	p1704	n17370
n2655	p825	n19761
n2655	p2401	n12075
n8602	p2853	n3175
n2655	p951	n8820
n2655	p951	n20375
n19437	p2571	n16599
n7261	p3892	n2696
n7261	p3895	n3178
n5142	p2276	n18373
n5142	p232	n16825
n16825	p84	n12304
n5142	p1427	n1252
n6797	p2228	n5242
n6797	p2619	n13310
n6797	p955	n15709
n13310	p955	n15709
n21620	p2961	n5206
n21927	p3269	n16753
n6810	p210	n21633
n13311	p210	n21633
n11221	p2372	n20434
n21065	p3666	n6151
n21065	p3666	n6146
n6797	p3666	n17862
n20406	p3666	n17862
n2774	p1017	n17750
n14531	p1017	n17750
n10396	p1017	n17750
n21068	p3660	n17750
n21067	p3660	n6146
n21066	p3660	n17750
n1	p3666	n10720
n3	p3666	n10720
n2	p3666	n10720
n4	p3944	n17750
n6797	p1886	n21626
n13310	p1555	n6797
n10643	p2130	n3767
n6797	p3274	n18250
n6797	p41	n225
n6797	p134	n18496
n18222	p615	n6156
n6797	p2090	n18217
n1	p615	n3352
n3	p615	n3352
n2	p615	n3352
n5142	p2937	n4645
n5142	p1433	n17326
n5142	p1660	n6942
n5142	p3524	n12096
n2655	p2228	n5142
n15192	p721	n20349
n19437	p2757	n7601
n19437	p2757	n7602
n2655	p2361	n2764
n2655	p2185	n13650
n2655	p2924	n110
n2655	p3624	n38
n2655	p3624	n116
n17862	p2818	n2853
n19437	p906	n20294
n14239	p1956	n12985
n14239	p4118	n21065
n14239	p4118	n3458
n2657	p3666	n3974
n2659	p3666	n3974
n2659	p3927	n4345
n2657	p3927	n4346
n2655	p3070	n11102
n2655	p2090	n6882
n2655	p2090	n18282
n831	p3353	n2694
n18973	p3377	n3464
n4414	p3371	n2694
n4734	p3371	n2694
n20457	p3384	n21070
n400	p3766	n5052
n2655	p1327	n1278
n2655	p3931	n20771
n2655	p1866	n18011
n831	p3352	n20366
n18973	p2833	n2673
n11748	p2817	n10661
n19437	p2571	n14799
n5142	p4012	n4666
n10511	p4012	n4666
n5142	p1105	n5548
n10511	p1105	n5548
n5142	p1816	n12096
n10511	p1816	n12096
n5142	p1904	n8447
n10511	p1904	n8447
n5142	p1992	n8315
n10511	p1992	n8315
n8315	p83	n3556
n8315	p83	n11667
n8315	p83	n5670
n2655	p1334	n17785
n2655	p1087	n19854
n2655	p1524	n1981
n19437	p1262	n15584
n18155	p4051	n2839
n2839	p478	n14236
n2839	p478	n14237
n2655	p1165	n6010
n2655	p1165	n6013
n2655	p1296	n13650
n13650	p1229	n29
n19437	p1763	n20893
n19437	p1763	n20890
n19437	p1763	n7981
n19437	p4149	n20120
n20120	p2002	n11047
n19437	p3278	n4342
n10511	p1816	n20381
n5142	p1816	n3487
n10511	p1816	n3487
n5142	p1816	n20396
n5142	p1816	n1473
n10511	p1816	n1473
n5142	p1816	n522
n10511	p1816	n522
n10511	p1816	n12194
n5142	p1816	n7030
n10511	p1816	n7030
n17747	p1184	n20917
n17747	p1386	n21661
n5142	p1212	n15099
n10511	p1212	n15099
n3551	p2034	n1494
n3551	p2034	n11357
n3651	p3609	n13144
n3651	p3609	n7184
n11665	p3609	n9587
n11665	p3609	n21435
n1792	p2034	n909
n1792	p2034	n8948
n1792	p232	n1540
n1792	p232	n1490
n18636	p2034	n9835
n13937	p2034	n8300
n1334	p2034	n15992
n6775	p2034	n6780
n2655	p3666	n18041
n2655	p3666	n17819
n2655	p2014	n3551
n2655	p2014	n1494
n2655	p2014	n10494
n2655	p2014	n3651
n2655	p2014	n11919
n2655	p2014	n1817
n2655	p2014	n18691
n2655	p4293	n7720
n2655	p492	n15992
n15586	p690	n1980
n2655	p1330	n17785
n3558	p3023	n9331
n16204	p3023	n16081
n16204	p3023	n9336
n2839	p966	n15990
n2839	p966	n9333
n5142	p4012	n4645
n5142	p4012	n15772
n5142	p1402	n16825
n16825	p84	n18843
n5142	p1349	n13564
n5142	p1105	n1785
n5142	p2139	n6768
n5142	p1816	n8388
n5142	p232	n4693
n5142	p2090	n11835
n14725	p232	n10991
n2655	p1733	n20705
n20039	p3017	n5142
n19437	p1262	n15730
n19437	p1630	n7602
n19437	p1764	n1366
n19437	p1380	n1367
n19437	p571	n12022
n19437	p1188	n20254
n19437	p1246	n20893
n19437	p1246	n18994
n19437	p1246	n14668
n19437	p1246	n12685
n19437	p1246	n1524
n19437	p1246	n10141
n14089	p1107	n20765
n14089	p1234	n5142
n14089	p1143	n1458
n14089	p3634	n1240
n19437	p1145	n7108
n19437	p1903	n7112
n19437	p1890	n20771
n19437	p1562	n20694
n19437	p1796	n7108
n19437	p4209	n20769
n19437	p4228	n884
n19437	p4156	n14102
n19437	p4156	n2898
n19437	p4156	n10084
n19437	p4156	n13698
n2655	p1229	n13555
n2396	p3636	n20038
n2397	p3636	n20705
n14608	p3634	n11195
n19437	p4202	n3974
n19437	p4202	n20425
n19437	p4202	n2858
n19437	p4202	n15597
n19437	p4202	n21261
n9138	p1679	n13557
n9138	p1571	n12988
n9138	p1369	n6889
n14102	p3288	n21065
n14102	p3288	n3458
n14102	p4187	n5709
n14102	p4236	n20250
n1764	p3287	n7817
n1741	p1580	n20690
n2396	p3670	n7073
n2397	p3670	n7076
n14608	p3670	n20714
n2396	p1697	n20709
n2397	p1697	n20700
n2396	p1850	n13928
n2397	p1850	n13929
n2396	p33	n7090
n2397	p33	n7080
n14608	p33	n20716
n2396	p34	n20271
n2397	p34	n18278
n2396	p35	n20749
n2397	p35	n20302
n2655	p665	n1334
n2655	p232	n4734
n2655	p232	n15558
n2655	p232	n6715
n2397	p1445	n831
n2397	p1285	n6962
n2397	p232	n5825
n5825	p232	n3812
n13036	p3355	n19437
n2655	p690	n5071
n20039	p1154	n17370
n20706	p1435	n828
n2655	p1153	n6719
n19437	p580	n15135
n19437	p61	n10964
n19437	p1520	n18439
n19437	p1520	n14292
n17313	p4012	n4645
n17313	p1402	n17316
n17316	p232	n13521
n17316	p232	n5142
n17316	p232	n10511
n17316	p232	n21429
n17316	p232	n1504
n17313	p1194	n19051
n17313	p1194	n9861
n17313	p1194	n11997
n17313	p1194	n5454
n17313	p1816	n9652
n17313	p1816	n7026
n17313	p1816	n20381
n17313	p1816	n522
n17313	p1904	n8447
n17318	p253	n17268
n17268	p3252	n19745
n17315	p1994	n9794
n17315	p3023	n6120
n21633	p4123	n1275
n21620	p1840	n4321
n21620	p1271	n10439
n21960	p1059	n2543
n21959	p2733	n8915
n21959	p3840	n18286
n10441	p222	n7098
n10441	p875	n10916
n10680	p3652	n13622
n15925	p1889	n13567
n10329	p1315	n18615
n1759	p1315	n6872
n5314	p1315	n7074
n20774	p677	n8453
n20774	p677	n10732
n20774	p232	n14835
n4332	p3459	n2033
n5294	p72	n1774
n5294	p4062	n13568
n21960	p951	n19141
n19141	p504	n20774
n20774	p1384	n18272
n20774	p1387	n21648
n20774	p1146	n21657
n14531	p4065	n21960
n21065	p4065	n21960
n6207	p4065	n21960
n10541	p4065	n21960
n4737	p4065	n21960
n14531	p1332	n20776
n21065	p1332	n20776
n6207	p1332	n20776
n10541	p1332	n20776
n4737	p1332	n20776
n3308	p4065	n21960
n20541	p4065	n21960
n3308	p3666	n20775
n20541	p3666	n20775
n3308	p3690	n5717
n20541	p3690	n5720
n3308	p1676	n10532
n20541	p1676	n10532
n3308	p1576	n18239
n20541	p1576	n18239
n17319	p504	n5330
n21633	p3628	n8896
n3308	p1986	n5265
n20541	p1986	n5265
n3308	p253	n18219
n20541	p253	n18219
n18219	p3276	n17750
n19437	p4017	n7248
n5142	p1349	n13565
n5142	p1105	n6942
n5142	p1816	n3970
n5142	p1805	n14469
n5142	p232	n11925
n5142	p232	n1845
n5142	p232	n3556
n5142	p1400	n16739
n16739	p3522	n18291
n5142	p1276	n5731
n5142	p1481	n17326
n7818	p2849	n17326
n19337	p4127	n3458
n19337	p4127	n21065
n2655	p2438	n5142
n19337	p4271	n1784
n14252	p1965	n19854
n6797	p3539	n5142
n6797	p943	n19337
n14446	p3747	n5075
n19437	p1693	n14491
n19437	p1207	n12220
n19437	p1246	n2637
n19437	p1246	n7133
n19437	p1246	n7981
n19437	p1246	n20890
n14089	p3640	n19348
n14089	p3640	n3458
n14089	p3640	n21065
n14089	p1143	n1459
n19437	p1145	n18605
n19437	p1753	n13576
n19437	p4228	n865
n19437	p4228	n895
n6797	p1229	n20761
n6797	p1874	n21645
n6797	p1568	n18276
n19437	p1890	n20311
n19437	p4202	n11781
n19437	p4202	n17848
n19437	p4202	n3362
n19437	p4202	n14300
n19437	p4202	n1805
n19437	p4215	n5671
n19437	p4215	n5729
n17697	p648	n13549
n15732	p648	n5718
n6813	p1679	n7089
n14608	p1679	n7077
n14102	p1571	n12986
n14102	p1563	n6884
n14102	p1572	n1364
n14102	p3635	n20301
n14102	p3289	n3458
n14102	p3289	n21065
n14102	p3289	n20406
n14102	p3289	n10541
n6797	p3683	n6875
n6797	p1233	n20260
n6797	p1676	n10531
n6797	p33	n6875
n14604	p33	n6964
n6797	p34	n20259
n14604	p34	n20750
n6797	p1584	n20720
n14604	p1584	n20248
n6797	p2090	n17845
n6797	p3666	n20425
n6797	p30	n12604
n6797	p3073	n20365
n6797	p665	n1334
n6797	p232	n15558
n6797	p232	n6715
n6797	p232	n4734
n6797	p232	n21417
n21417	p1067	n13484
n6797	p1900	n12992
n6797	p1820	n7110
n6797	p3318	n21088
n6797	p3318	n15505
n5671	p690	n13384
n20435	p587	n14567
n6797	p3585	n3446
n6797	p867	n19348
n6797	p951	n5626
n6797	p3069	n10816
n6797	p1081	n6721
n5142	p4012	n18336
n5142	p1402	n16814
n16732	p890	n12365
n12365	p2992	n2179
n5142	p1105	n18603
n5142	p1907	n5816
n5142	p1218	n18651
n5142	p1218	n1554
n5142	p1218	n11925
n5142	p232	n15065
n17511	p1686	n16059
n16059	p3023	n16049
n16049	p3023	n18049
n7326	p4051	n9794
n17511	p1059	n19916
n17511	p1063	n2309
n6424	p1107	n20713
n7948	p579	n12108
n3482	p504	n7301
n20324	p504	n7347
n5318	p3456	n20265
n20185	p3993	n20272
n20185	p4055	n21644
n20185	p3099	n7093
n17809	p3459	n1853
n11935	p976	n14327
n20936	p951	n20194
n20936	p951	n20193
n3482	p2090	n20017
n3482	p2090	n20016
n20324	p2090	n20016
n20324	p3585	n11558
n20326	p3666	n20017
n3482	p3094	n7094
n20324	p3094	n7082
n3482	p3095	n7082
n20324	p3095	n20256
n3484	p951	n19770
n3484	p951	n724
n9880	p3060	n13577
n3606	p3666	n20412
n20324	p2090	n12198
n3482	p3069	n12199
n3606	p3069	n12199
n16700	p3662	n3483
n16700	p3662	n20325
n3606	p3549	n723
n3606	p2014	n20142
n4174	p3581	n9446
n4174	p232	n814
n11774	p1015	n740
n3606	p3747	n5202
n17545	p3628	n8866
n20205	p3496	n13722
n3482	p1081	n12436
n20324	p1081	n15213
n3484	p899	n7380
n5961	p3774	n6291
n3606	p3666	n17735
n3606	p3666	n12195
n3606	p3585	n19554
n18352	p4012	n4645
n18352	p120	n5142
n18352	p1031	n3109
n18352	p57	n9936
n18352	p598	n6023
n18352	p1199	n6942
n18352	p1493	n6748
n18352	p1493	n8388
n18352	p1268	n9810
n4657	p3367	n17721
n16786	p890	n21329
n16786	p232	n18352
n16825	p3727	n18353
n19437	p1262	n16595
n19437	p571	n10142
n19437	p1260	n14291
n19437	p1687	n12980
n14181	p718	n18352
n18079	p4165	n9936
n2137	p3459	n11094
n5755	p4175	n20047
n4650	p4235	n21412
n7910	p3462	n14356
n7839	p3456	n9838
n14193	p1825	n18598
n14193	p1103	n20767
n14193	p1815	n6832
n14193	p1815	n21454
n14193	p1363	n6063
n14193	p1816	n7806
n14193	p1816	n7026
n14193	p1194	n19291
n5755	p3936	n12047
n5755	p3936	n1700
n5755	p3936	n7168
n5755	p3014	n14546
n14193	p1816	n1500
n17862	p2114	n1245
n1240	p96	n12203
n21065	p3666	n18041
n1918	p4121	n705
n20406	p4121	n705
n4693	p504	n11678
n4693	p504	n18293
n4693	p232	n7163
n16825	p707	n938
n16825	p1909	n13285
n16825	p1909	n11607
n16825	p1909	n19109
n16825	p1909	n4505
n13423	p2034	n21700
n13423	p2034	n21877
n13423	p2034	n21697
n5142	p500	n6740
n5142	p500	n5603
n5142	p500	n12096
n5142	p1203	n12183
n5142	p1203	n1502
n5142	p1906	n5325
n19291	p4099	n6832
n19291	p3370	n5142
n14429	p44	n18069
n14429	p786	n4892
n16825	p969	n21037
n12169	p3016	n4901
n5142	p3080	n21065
n5142	p3080	n1925
n5142	p3080	n20406
n2774	p933	n12203
n10396	p933	n12203
n21257	p933	n12203
n16732	p890	n12366
n12366	p977	n7398
n16813	p3023	n16097
n16097	p3023	n12711
n1822	p2034	n1307
n1822	p2034	n4602
n1822	p2034	n1532
n1822	p2034	n11907
n1822	p2034	n3556
n2655	p150	n5242
n2655	p3018	n3692
n2655	p3542	n17862
n4888	p676	n9345
n17538	p3735	n18317
n17561	p3735	n8426
n11978	p3067	n2297
n2655	p72	n13644
n2655	p1297	n13556
n2655	p74	n14874
n2655	p78	n14877
n19600	p3277	n14875
n6430	p257	n20571
n17538	p1586	n18606
n2727	p983	n20710
n2727	p681	n13587
n17561	p1730	n15099
n2727	p3666	n11848
n2727	p2014	n18801
n2727	p2014	n15918
n2727	p3666	n1310
n2727	p3666	n4603
n2727	p3069	n11935
n2727	p772	n7669
n2727	p2014	n13600
n2727	p3308	n5831
n2727	p2090	n21586
n2727	p3525	n16697
n2655	p948	n4883
n4883	p2034	n19606
n4883	p2034	n1846
n2655	p53	n13238
n2655	p3198	n5898
n2655	p3198	n18212
n9340	p3328	n18011
n19437	p690	n20521
n5142	p4012	n7857
n5142	p3082	n6942
n16732	p890	n12543
n16825	p3023	n12542
n12542	p3666	n9733
n16092	p3023	n12711
n5142	p2141	n6763
n5142	p3557	n7825
n5142	p232	n19291
n5142	p232	n4657
n5142	p2090	n17344
n5142	p951	n8538
n6373	p995	n3724
n15011	p3747	n5301
n17459	p2314	n5142
n17459	p1080	n308
n17459	p1059	n4101
n17459	p3067	n2293
n3991	p2086	n8371
n11220	p3834	n7092
n1277	p68	n20350
n4127	p4129	n15974
n19289	p3464	n10724
n17459	p1865	n1361
n6789	p1543	n19620
n942	p950	n9026
n21498	p764	n9026
n11137	p1814	n20258
n6789	p1814	n20257
n3458	p2090	n18067
n2774	p665	n18067
n2655	p811	n18059
n6797	p811	n18064
n10397	p3666	n18058
n10397	p2090	n11835
n20324	p2090	n18058
n10544	p2090	n18058
n11873	p996	n18058
n3461	p2090	n18058
n3479	p1055	n18058
n17459	p690	n15027
n9026	p3267	n6755
n9029	p951	n8538
n14468	p3263	n3346
n3458	p690	n3881
n2655	p3218	n3609
n18855	p4292	n17986
n20324	p951	n15007
n3606	p3695	n3423
n17459	p4025	n5342
n5142	p4012	n5330
n5330	p676	n6588
n16825	p84	n18863
n5142	p1992	n3519
n5142	p1992	n1792
n5142	p1992	n11919
n2655	p1577	n9594
n20070	p256	n2379
n2379	p3050	n3039
n20070	p1713	n1223
n20070	p1713	n15232
n2761	p4126	n5330
n11655	p736	n15520
n6245	p957	n19820
n19437	p1262	n15366
n19437	p571	n8829
n19437	p1350	n9842
n19437	p1772	n8305
n19437	p3699	n3432
n19437	p1703	n3179
n14089	p1275	n5330
n14089	p1235	n16825
n14089	p1107	n13575
n14089	p1147	n11943
n14089	p3634	n705
n705	p4173	n19828
n19828	p1227	n2655
n19828	p1227	n20070
n19828	p1168	n6888
n19828	p1167	n13555
n19828	p1872	n20746
n19828	p4041	n8153
n19437	p1724	n7108
n19437	p1499	n20723
n19828	p2136	n20744
n19828	p2140	n21654
n19828	p4083	n20745
n19828	p3096	n18608
n19828	p3098	n21650
n19437	p4202	n17815
n19437	p4202	n20701
n19437	p4202	n15569
n5452	p4176	n20046
n5452	p4158	n12990
n14091	p1571	n20043
n14091	p1825	n6174
n14091	p1570	n20760
n3458	p4122	n18288
n21079	p4122	n18617
n19337	p4122	n6879
n10541	p4122	n7084
n14089	p31	n20251
n14089	p32	n21653
n14089	p997	n18973
n14089	p997	n1158
n14089	p997	n4734
n14089	p997	n21418
n18973	p3726	n5715
n1158	p3726	n6890
n4734	p3726	n20267
n21417	p3726	n20715
n10351	p2034	n5812
n10351	p2034	n5811
n10351	p2034	n5819
n10351	p232	n21079
n10351	p4012	n20501
n8601	p232	n8171
n19900	p2090	n17845
n19900	p3666	n11944
n18011	p3243	n17815
n18011	p3599	n18289
n16501	p3341	n18619
n5480	p3663	n21655
n5480	p3665	n21658
n19078	p626	n18011
n15569	p4086	n20266
n15569	p4087	n7088
n15569	p2016	n13721
n15569	p2016	n3519
n21261	p2016	n3651
n21261	p2016	n15900
n21261	p2016	n11124
n19828	p4012	n17362
n2575	p3023	n5817
n2575	p3023	n5841
n18975	p968	n2382
n21417	p3119	n520
n19437	p690	n5062
n19437	p3585	n6939
n5142	p4012	n15795
n5142	p500	n7161
n5142	p500	n20588
n5142	p717	n9632
n5142	p232	n15262
n5142	p232	n15273
n5142	p232	n15264
n5142	p1994	n14219
n5142	p1994	n2904
n3972	p588	n20141
n6797	p3029	n709
n19437	p4167	n6819
n19438	p703	n15733
n19439	p703	n15733
n14303	p3086	n5522
n5521	p3086	n5520
n15592	p523	n12106
n17807	p3651	n5781
n11925	p504	n1469
n11925	p504	n18293
n17846	p3496	n14219
n17846	p3496	n2904
n5530	p2090	n14233
n5530	p2090	n2905
n856	p3274	n14219
n11926	p3666	n14219
n11928	p3666	n14219
n11926	p3666	n2904
n6823	p2090	n17845
n20561	p3340	n12106
n17845	p3829	n11250
n9346	p2014	n14219
n9346	p2014	n2904
n15589	p1991	n17862
n6797	p690	n2256
n5142	p1351	n16814
n16814	p84	n12341
n12341	p977	n7387
n5142	p1194	n20585
n5142	p1194	n6748
n5142	p1194	n19176
n5142	p1194	n1556
n5142	p1194	n15069
n5142	p1218	n1540
n17561	p951	n20195
n17561	p951	n18803
n2655	p2310	n2764
n2655	p1744	n13240
n2655	p4125	n16295
n2655	p2014	n1555
n17561	p1415	n8440
n20181	p2121	n6748
n20181	p4233	n183
n2655	p1297	n28
n2655	p1297	n114
n2655	p1538	n39
n2655	p1538	n117
n5808	p3462	n8744
n8744	p603	n4563
n4563	p603	n4557
n4563	p603	n14131
n2655	p3666	n20198
n2655	p3666	n20201
n2655	p3666	n19183
n18041	p3243	n15712
n16205	p3666	n17344
n17561	p951	n8948
n2655	p3666	n8948
n2655	p3308	n16698
n10893	p2014	n18817
n10893	p3666	n4450
n8479	p1006	n18801
n17561	p1765	n7435
n2655	p2090	n7435
n2655	p2090	n21918
n2655	p780	n21914
n2655	p3666	n21910
n7437	p258	n2686
n20073	p258	n2686
n2655	p3666	n4559
n2655	p3666	n599
n2655	p3666	n9972
n2655	p2090	n9947
n2655	p3666	n6325
n2655	p49	n2379
n7571	p977	n4574
n7576	p3259	n2682
n7576	p3349	n2682
n2655	p3585	n15008
n2655	p2014	n17785
n2655	p2014	n18783
n2655	p3774	n6291
n6293	p854	n5227
n7574	p899	n9768
n7574	p3735	n20157
n4563	p3702	n18000
n2655	p1366	n18483
n20178	p4233	n183
n20178	p3269	n6748
n17561	p4109	n20178
n20201	p3243	n15712
n16176	p3666	n19538
n2655	p69	n28
n2655	p69	n114
n2655	p73	n14863
n2655	p828	n11223
n20288	p3246	n18817
n17561	p3666	n18817
n10893	p2090	n18817
n10893	p69	n39
n10893	p69	n117
n8479	p810	n18817
n2655	p771	n18786
n15914	p3246	n18804
n15914	p3246	n4451
n17561	p951	n9477
n10893	p2090	n18804
n4557	p3654	n21307
n17561	p3666	n21922
n17561	p951	n20847
